,taxa 1,taxa 2,taxa 3,taxa 4,taxa 5,taxa 6,taxa 7,taxa 8,taxa 9,taxa 10,taxa 11,taxa 12,taxa 13,taxa 14,taxa 15,taxa 16,taxa 17,taxa 18,taxa 19,taxa 20,taxa 21,taxa 22,taxa 23,taxa 24,taxa 25,taxa 26,taxa 27,taxa 28,taxa 29,taxa 30,taxa 31,taxa 32,taxa 33,taxa 34,taxa 35,taxa 36,taxa 37,taxa 38,taxa 39,taxa 40,taxa 41,taxa 42,taxa 43,taxa 44,taxa 45,taxa 46,taxa 47,taxa 48,taxa 49,taxa 50
sample 11,0.08306296839049612,0.05253958139383803,0.001942729190863317,0.027922903262658175,0.014045589920127787,0.14241404885104614,0.00719231544617935,0.08772352380535164,0.05538662238639281,0.011367659570769382,0.07757557176207631,0.02088070191384708,0.004781531633851934,0.006853936414622361,0.005935152164610176,0.038998125356924755,0.014217956579740999,0.006392933866697276,0.0349813179936849,0.00847246800969515,0.013650599822486906,0.0071751368907648815,0.005152061607295511,0.023785732199430448,0.027727435509433362,0.02218122518138056,0.0037853334152152204,0.0,0.02447019651842407,0.000243698363140873,0.0020018576504549773,0.014136021843541187,0.013651912482415436,0.02300978344544807,0.002187070340849885,0.042065774304093716,0.008054435667311252,0.0,0.012423995133858673,0.0,0.02890115278290752,0.001316121935060922,0.013164991138564239,0.0034684777522638174,0.007485405309595279,0.0009505546459934042,0.003177784413545539,0.0,0.00023498718047389964,0.013616142581851091
sample 12,0.07335598524075448,0.05945225288699287,0.003190903430887701,0.0393445792826881,0.015619259231609851,0.09450521143553026,0.018928662055604933,0.06620057719789357,0.04166584347029406,0.011407118211968152,0.07335208344255974,0.04351318123673829,0.013332791389643798,0.015222428102581778,0.01110741061162774,0.04110203626510907,0.008461469875244522,0.0064247238697758054,0.020157458605010597,0.008886797928748006,0.015009224104492288,0.005792849214321053,0.012067568597218335,0.02934172273507986,0.03586468736253364,0.017175665771222284,0.005090574768013044,0.003242344995118369,0.022729289327196783,0.002178361892847226,0.011907989159536852,0.016615998144957615,0.01994262761743875,0.01524808668187922,0.002699963294651808,0.03606295540943171,0.008163274261509963,0.0012374691255612367,0.00630625041101315,0.002697003655607604,0.02165495780377262,0.007892763604661112,0.020849264179074557,0.007950540503118627,0.010856411141924061,0.00157047407687051,0.0035644436893362756,0.0034442561041548307,0.005304164691371606,0.006392050767493167
sample 13,0.06596713490545293,0.03869704691834574,0.003161590266236268,0.04630027645316249,0.013307929071477155,0.10281706229217982,0.021142118884118592,0.07294935415938154,0.04811291796348027,0.013748515750203099,0.07932600731601566,0.05618471822809416,0.009086524468071722,0.01181055596844443,0.004736917853698227,0.04421694891937638,0.018237113980928133,0.005745408250240713,0.02279840274970524,0.006620794409658137,0.01460921372560534,0.007477464790869112,0.011124954019290699,0.020234054298311738,0.024195307366118936,0.02169937888995152,0.006055301972359105,0.00013640307460600933,0.02363121428954129,0.0020923989702202957,0.011487195832575531,0.014937352060134853,0.024002586898653106,0.014180989169587238,0.0031981259806805433,0.03525244182351234,0.007539423738554065,0.0004358831381921457,0.0032564752331926215,0.0027534399790212732,0.029253983967554048,0.004121654166790851,0.019462616329982634,0.006460770344998971,0.00844209194087563,0.0014454819426028569,0.002765175158687528,0.0025229344287327035,0.0032812952574101336,0.009115124654439947
sample 14,0.07948338622308183,0.03819331578848098,0.012718712265031443,0.056302472448260574,0.022744317395349226,0.1526387665075862,0.00866546220902779,0.09605422705574133,0.016685889556709133,0.006879186405932065,0.05007770447356712,0.011144639228517822,0.008844185695710646,0.003957449015242222,0.018961328148735093,0.06780999824677696,0.02059026836585056,0.014853945520974703,0.0030933437245377056,0.016293114509254077,0.014595215315069182,0.01706504281816243,0.0135353104740773,0.025660011419396417,0.008590550537412964,0.007274875909098818,0.0023680936785042523,0.0030355675517527996,0.03958502195548947,0.0017028485004261032,0.0058291074854253805,0.0015791427632849918,0.008982659393882424,0.016515255997491665,0.004892460243226631,0.015296548313944005,0.008588575271232055,0.011453358361899204,0.004403147885841919,0.0016511801140325656,0.00597665278353641,0.0019004495060788633,0.038563277572958424,0.015859071645941913,0.0028658560515457156,0.007535524234222672,0.006806472650862241,0.011134287811053304,0.008547587314671597,0.005318079908904992
sample 15,0.10421164906731056,0.027471756640432967,0.0011475251163253618,0.09188220653117837,0.012763976112409628,0.13064741110597447,0.001098099316192222,0.08326239736128943,0.008807568881179435,0.003660776680263089,0.039573500894582544,0.007038667021467153,0.023920621023194807,0.01310511856399036,0.037925777022882266,0.08726456251684886,0.02307199286506559,0.002562760585907725,1.551262118138705e-05,0.012898363704784362,0.00911238757669803,0.03377272062913776,0.007973214489390123,0.03122842884573875,0.003424127449806922,0.006536028938815313,0.0013584852763851723,0.004437487487088818,0.05161557657132122,0.00020042226265660137,0.00042528581394582216,0.0012910929979532907,0.006223053531738402,0.015722282132642092,0.006756430087388712,0.015317208992878993,0.013843029103950327,0.026367689797357485,0.001472850747953666,0.0,0.005281825073606887,0.0004029340101762078,0.039039570274212405,0.001070422570832707,0.0023139456852051157,0.0013485691444112707,0.003704805446647683,0.010989595492477737,0.006379397199636909,0.0032959558605268856
sample 16,0.09540490033387297,0.041711356547419726,0.010275603279319905,0.05128142248270333,0.018517711405386907,0.09267603586657756,0.0035533469935630116,0.06434583685090137,0.019932880933662037,0.016823825423762595,0.05412372491730014,0.014153762676512204,0.004257785033524787,0.0018521314495220328,0.023374862786080072,0.03919285580005001,0.05785197558927156,0.013987736763986505,0.005179901379409813,0.021723920787043077,0.0114517740380706,0.02283914744696957,0.02758029145273431,0.017559316504608086,0.01052749080461575,0.016026907134613848,0.002228796364466313,0.0018768906364387801,0.05647862598393021,0.0014404732828553943,0.005636158870891487,0.0019586291291161908,0.015638630967366444,0.015322806703101946,0.0028188349196445533,0.009348843052886522,0.011165725886121655,0.011748193770378942,0.001624629999404645,0.001014787041689962,0.01343641263731245,0.000329055721173022,0.05898402013441583,0.003956863630818545,0.007104893975560263,0.0017935743549071994,0.0032287097610753583,0.01661504153775506,0.021125104604592965,0.0029706303138023653
sample 17,0.09341124961222079,0.028823835884327367,0.002375470102641059,0.07176542527110101,0.009879435373202003,0.11319346830758313,0.002638914508845827,0.07817428985731255,0.008763253548093269,0.016684731151893964,0.04222435390519761,0.011185005190010968,0.0010792402808481943,0.0005912710972610377,0.024678647962406732,0.04529778436385735,0.06947185881970101,0.007847637611017061,3.414649765005795e-05,0.017464824871491237,0.011894225435535396,0.02908792311275635,0.02528382585440199,0.010417923699363793,0.004091151347314314,0.00917482936647995,0.0018078193293849935,0.0022728543125317834,0.06408688383935253,0.004549362209281531,0.011104469210890302,0.0011916484766991136,0.0070577145403986205,0.013544473853734506,0.0021573266263888976,0.011675740370358085,0.011513123025712503,0.010196754251851535,0.0015310654071761863,0.0004397473763220909,0.012956999382304128,0.0004956335738569118,0.0665267432431923,0.0017842740941419316,0.007373479513629091,0.0044842964975105775,0.004050663714470944,0.019920943621723135,0.02208948058902315,0.003507493113484037
sample 18,0.09387843133284125,0.03413766056639509,0.0031428513239893053,0.08054011260086619,0.01870944238150053,0.1067591526857855,0.00917755348116803,0.11056271515162386,0.011130444284830334,0.009945816998135366,0.04230335641142205,0.011212491557541894,0.0016927828249071392,0.00012362724141818933,0.017416081359782804,0.053681469482417414,0.03372423136594735,0.008671566606376448,0.002502212804944965,0.014345619229084927,0.012758222765147738,0.050068782850920784,0.01832159830300386,0.01751396413629176,0.00756476089492257,0.006813692498899041,0.0019740013411508866,0.002032683597968481,0.04397866797195019,0.0033666272206038694,0.0050198609327257735,0.001457816339379368,0.006983840331104924,0.008666406183322276,0.00369173223161319,0.009082205641232194,0.018563425683240164,0.01533904840743532,0.0014564708631890216,0.002077399871007299,0.013618847118799914,0.0018718059902687214,0.04182701791382412,0.007177349656550586,0.010051109639968298,0.0058344693044061115,0.006168709160426074,0.02100242278994696,0.009751254742614335,0.002633272157455038
sample 19,0.08340993005170065,0.016422116104150435,0.002991218845906584,0.07828164589624467,0.011290079931724761,0.1580912023363048,0.00432992907720337,0.09104185823573721,0.033627959783557995,0.0017253497697884103,0.07345752613952061,0.014644907125400711,0.0008363253476979737,0.0001667374445129708,0.015629234248594203,0.09187665843316374,0.009189868867774615,0.00322136968773298,0.010048202973059275,0.01426222835537288,0.018888189230516668,0.0064696286900285255,0.00763947978994839,0.024152013576558298,0.0028188031357312534,0.005849061677633775,0.0038876569527777688,0.005223371617157016,0.0462079303510839,0.0036463146114758755,0.0005269076333577317,0.001464371072320605,0.014227535198061275,0.008539192992607261,0.019380683790380614,0.028632570560478254,0.009122564973045902,0.0011070616290634625,0.005910619600103648,0.0005498289363320065,0.008903559716649734,0.0005924356458219654,0.04745584723269401,0.0007457668468268052,0.0015590169568022619,0.004059305292113506,0.007191494323215621,0.011637077360578984,0.008733407332646806,0.008231793723509956
sample 20,0.08328958245078495,0.030115326146162955,0.00283328923555637,0.08410257687028021,0.03291428665424648,0.14096917791268668,0.01610863353935203,0.09737729735018644,0.027401569086189452,0.0022972783532492114,0.06678388129134165,0.024978504314097767,0.00400852851582748,0.0001492911973617896,0.017431437280135464,0.08167969992678838,0.006566758107883562,0.0068163647784797166,0.00522192135803508,0.01626546504405519,0.021561498375037087,0.006313121860935523,0.005401027559632408,0.02352100788224329,0.005016584223168664,0.0059461453735881326,0.004445188122186272,0.0016880334544023218,0.0337945185614662,0.007039539180370753,0.0008522970124733724,0.001598759957052923,0.01331729223442467,0.007733517898610453,0.02026087245753104,0.02513599506464782,0.0095237404792778,0.001974965723711993,0.00263034679304223,0.0031201995311776307,0.01758529260405271,0.002635664263909443,0.028410960123114778,0.0015112235571906947,0.002810970598480661,0.0010481752605973023,0.002728925607213526,0.005230140586729563,0.004463414177746879,0.00887700100182873
sample 21,0.08784357348022678,0.022688951434372263,0.003811366499858121,0.05793707487139102,0.03668844790225854,0.14607191881714007,0.016545999986274,0.08415919420061112,0.044394934678947715,0.0023788134045095366,0.10378532352213869,0.02840364921468454,0.00414247268075417,0.00021626994523246608,0.0012169024959528467,0.0804921429765163,0.0032352700143821462,0.007392677272462028,0.010300291178872548,0.014814824270935811,0.026687592025519295,0.00609276297825779,0.0049786544149181215,0.02353282005334616,0.0036298483914258225,0.01220888149556116,0.005742997847720241,0.0,0.007390726636427721,0.01675301206492259,0.0021735983681282654,0.0018382880560663115,0.0323717787416794,0.01573489864538472,0.0075661813349276125,0.03275148398008994,0.008495105649887182,0.0,0.002655521410185945,0.005871211944067073,0.011314706262579046,0.0035243532290241894,0.025648187034384845,0.0006142266550650732,0.0022644357721741362,0.0,0.0026057004103748724,0.0046118536607924815,0.004456479198106398,0.00512040204855871
sample 22,0.07918490323616041,0.013632693412821686,0.004300476715816033,0.04550676831547256,0.03257793333747251,0.136719433046903,0.021810565406619624,0.09787330502168386,0.04387328134535037,0.005551061512819025,0.09600338272777631,0.04592743903120538,0.009883050552264256,0.0035607799358505303,0.0028851032449216034,0.06437031342529947,0.0034830746947644956,0.007086102936776996,0.0072121240337643415,0.016991261082437238,0.02968221875018562,0.006260522661544855,0.0034285868811163253,0.01743419246734135,0.0013239127942448138,0.011745935521839057,0.006679230518192263,0.0008288067612649905,0.00926294054044003,0.022116073211428614,0.003341699236593971,0.0031616512154071918,0.03349642334108748,0.011329031930316895,0.016746382522407295,0.026472546120937725,0.007707669811906899,0.0,0.0029030351048173714,0.006913662138318784,0.01981882665791413,0.0037384984976069715,0.020362142081416387,0.0,0.004658318749300284,0.0004905069120135449,0.004308821849269696,0.003399874044292139,0.0032853314673402328,0.00612100086831026
sample 23,0.11087077595654848,0.05167155889546313,0.041348156593066225,0.0594472803051063,0.03250144629904411,0.057103257117189145,0.0038738815076380636,0.03498283864096365,0.060674316254302516,0.009529729347715954,0.0897248103332089,0.013834450109748639,0.004614856804946396,0.0006672520077999124,0.03132160872026464,0.043924305065311225,0.009119443199128462,0.01890026708055502,0.015345569763640177,0.057859309805187956,0.016877911229465938,0.01790179169579755,0.010428329206827461,0.02122693047648191,0.01572583466077293,0.009110345819290641,0.003543912666435534,0.008946467690502627,0.02178719270503971,0.0018223089122071778,0.000772547852669104,0.0015808564024249435,0.02892697834618359,0.0082719554119023,0.010659497766870233,0.019631790835754906,0.012533858754233688,0.005817865054374365,0.0012764396328990455,0.00201959548246025,0.008055107131745795,0.0001824102313586559,0.01186513477809229,0.021969114324835393,0.0017129618749876369,0.0029979940501586853,0.004092237170729441,0.002844568004790256,0.0020292031996960672,0.00296591194948234
sample 24,0.09120754255283171,0.07507301649080828,0.004789204792878605,0.02594220443077929,0.06254772305571578,0.07331961319743821,0.008722117658177812,0.043262617188463345,0.04304595559327895,0.019070001852170178,0.10910823197722033,0.02306081598285554,0.009160485527895938,0.00145893114832383,0.004310700791816375,0.0346951555742373,0.030283576925524792,0.04327801419349164,0.004373884079455743,0.02172952142827058,0.032837385840159716,0.0225553998390774,0.008679839425289496,0.02835991745506468,0.014594891355770745,0.012886244719882468,0.01404912458618504,0.007037073584318193,0.008678751875218063,0.0029124472547922497,0.001517412854546188,0.0017403173184158626,0.024143290916326096,0.008152644318404973,0.0033411302252394958,0.024229020966842936,0.007837963144221824,0.0033459021315963328,0.0027065457568862207,0.003013665183886024,0.026935838912118686,0.0004962415070236838,0.010763176403369634,0.005104712387078006,0.0028807606803720113,0.004150438264498161,0.010606388185320163,0.003934743901584484,0.0014432842140289462,0.004443698304518351
sample 25,0.08641878991074174,0.05303585573418915,0.006004473429764966,0.027702884816125227,0.03513027220486472,0.07528901662844915,0.005148920745986721,0.04028780465600662,0.06530894692398935,0.015845584894697392,0.09946947977173455,0.01549467714082563,0.004844267153531723,0.0009332558996952002,0.03255091925496001,0.026982961519259923,0.03195299410539378,0.025115586171509576,0.0176814652183759,0.03278829804755262,0.024452397842330876,0.018341813258929043,0.015341036217912333,0.017369395311721755,0.022310822284477064,0.021009162994407256,0.012954310223442927,0.00840602214843392,0.044385817788750795,0.0011817436206449693,0.001352636479996183,0.0028183202776060783,0.018086071878431493,0.018655517608882448,0.0019336846989164564,0.01089431073954488,0.008239994307289106,0.006044465166714273,0.002492023903923176,0.0021732918896785356,0.012021199450077341,0.0008419334680671959,0.02857731493063656,0.00305165034748548,0.0022071106939171325,0.002336186201789986,0.007894873916637766,0.006583292403952482,0.006042639194205706,0.0026586997003312496
sample 26,0.10073389107349916,0.03877536096140096,0.005123503930088056,0.04904896811550851,0.06597192781743039,0.09821372406216763,0.03293128213030288,0.0683930879829262,0.04018654851676369,0.0045481079939147,0.08331976772280186,0.023057146661995705,0.009973996027896276,0.0008802169066602622,0.0018088602706260533,0.034837428872342056,0.015842257933138888,0.011986601215626273,0.02838275284678314,0.015636722084942812,0.03100844267410379,0.00952923632890692,0.013763601818736055,0.013989729801190716,0.009313872531267012,0.008960286062987296,0.01856558931135124,0.0028867581318222004,0.004412110133558385,0.015955158618798225,0.0017754851125072906,0.0009958766851703978,0.029084754336059795,0.012103225161776933,0.008446919593252701,0.010643845554912587,0.011021414384194631,0.0,0.0028107280448434035,0.015397794083854124,0.011541898056235643,0.02242576135357551,0.01216935261061092,0.008495141543702053,0.0022523171748861435,0.0013694136444600226,0.0030207825706368135,0.0007288990415679088,0.005335730653634656,0.004646101543444546
sample 27,0.09642029455036924,0.04012671749132254,0.002606523373002203,0.04865119282775648,0.057193773259395064,0.07578440986356348,0.03866504560138579,0.05651547780684275,0.044807510978217426,0.003927427089223803,0.09769870922904118,0.034412862197146565,0.0069342984511558394,0.0006037318367452251,0.0,0.02602997019179633,0.0069372471493210075,0.010851322451139752,0.028448896662029346,0.008585520711204176,0.03487628203028497,0.007998932508821839,0.003821345216521354,0.009575593400140794,0.018961424053668723,0.009555576523871304,0.031320118701366265,0.0,0.0028699637872856842,0.03625078290117302,0.007628620624883894,0.0029910246044093634,0.04964909920816403,0.009095781044699726,0.02061110924055541,0.009628795356226703,0.010280633819943862,0.0,0.0023528728709519306,0.03674151926480168,0.010856722321661197,0.007570333355656398,0.006003443687024295,0.002044995819526185,0.002851758135032926,0.0,0.0016181233990988735,0.0,8.162944650903591e-05,0.005106841494343062
sample 28,0.061484171520310035,0.07023898734030198,0.015244382264458472,0.07389077001625076,0.029690096092277605,0.07163858373188237,0.00908290891730674,0.043703756405959596,0.015183260654920665,0.006433505577208442,0.05791881487791369,0.012134168081103782,0.01320916211009251,0.009627600657818602,0.012020478731941354,0.10452660462672833,0.03161509549891183,0.007986088660149888,0.001962361123481818,0.017054774764070166,0.014393146231452578,0.006469174769844036,0.016910415450584502,0.06284049828127011,0.017191873609057558,0.009959922302669861,0.0030871225272489427,0.003290987051138718,0.03208338628828619,0.001597326432872476,0.000702581165332289,0.0032697543014521256,0.01716876372670553,0.011919859583170014,0.016931416377452994,0.02918194357080027,0.0072236746324423,0.0011351735025192655,0.0054273553431421016,0.0024260805638570927,0.023743743770511756,0.003665774487257409,0.03538289723712475,0.009593801826234752,0.0014927398149430953,0.00133929879320857,0.003592295521655342,0.006408465165639566,0.010023078965155236,0.007038630717327285
sample 29,0.07658807253368587,0.07910409952273503,0.02299406526199125,0.0680545078077555,0.042121241185239265,0.04981396202056279,0.0034866044519081775,0.038042005455974255,0.018125549104344753,0.005590519989062523,0.06518224434471191,0.015128946901324979,0.02530369077917163,0.01924763317185392,0.007540624237421608,0.06592212109409926,0.04091346441059991,0.009116138704644774,0.0029473802412230492,0.01063960547005081,0.012732415929532491,0.008812083251097072,0.021297251845494036,0.04969432644177162,0.03436556894393647,0.021517709595313725,0.003181326685370529,0.00021061402410451217,0.03946238393615923,0.0018818661829947928,0.0005828110949781395,0.020088826063476714,0.013129928236961484,0.008463036441287094,0.012895458592511072,0.008229700797949574,0.01788072248067281,0.0,0.011502419015109516,0.0,0.0065585527555358635,7.415826019913686e-05,0.024290844452480313,0.02449038981835751,0.001959263605070477,0.0036085594549300614,0.0023323441432313466,0.0026573795753892984,0.0048476077910069885,0.0019836860905817844
